space_time_id,pop,rwi,error,wealth_usd,wealth_cfa,usd_to_cfa
2022_1_19_-4.9589_12.1623,26.87083719795208,-0.763,0.271,7174,11,0.0016
2022_1_19_-4.9589_12.1623,26.590488837674364,-0.763,0.271,7099,11,0.0016
2022_1_19_-4.9589_12.1623,28.12546985868552,-0.626,0.273,7509,12,0.0016
2022_1_19_-4.9589_12.1623,37.49568360843501,-0.626,0.273,10011,16,0.0016
2022_1_19_-4.9589_12.1623,47.00344479924768,-0.626,0.273,12549,20,0.0016
2022_1_19_-4.9589_12.1623,51.77972781039188,-0.444,0.269,20660,33,0.0016
2022_1_19_-4.9589_12.1623,73.68074782489921,-0.444,0.269,29398,47,0.0016
2022_1_19_-4.9589_12.1623,134.85027282031282,-0.793,0.274,36005,58,0.0016
2022_1_19_-4.9589_12.1623,66.71165732984039,-0.793,0.274,17812,28,0.0016
2022_1_19_-4.9589_12.1623,44.03703117869556,-0.793,0.274,11757,19,0.0016
2022_1_19_-4.9589_12.1623,38.18255782632475,-0.446,0.267,15234,24,0.0016
2022_1_19_-4.9589_12.1623,31.583114746115434,-0.446,0.267,12601,20,0.0016
2022_1_19_-4.9589_12.1623,30.162385541637093,-0.446,0.267,12034,19,0.0016
2022_1_19_-4.9589_12.1623,29.87800934688932,-0.841,0.265,7977,13,0.0016
2022_1_19_-4.9589_12.1623,29.863758301040715,-0.841,0.265,7973,13,0.0016
2022_1_19_-4.9589_12.1623,30.80750056863837,-0.638,0.262,8225,13,0.0016
2022_1_19_-4.9589_12.1623,31.826497357528098,-0.638,0.262,8497,14,0.0016
2022_1_19_-4.9589_12.1623,35.7812465276774,-0.638,0.262,9553,15,0.0016
2022_1_19_-4.9589_12.1623,25.34338036415091,-0.768,0.275,6766,11,0.0016
2022_1_19_-4.9589_12.1623,11.60200876494929,-0.476,0.26,4629,7,0.0016
2022_1_19_-4.9589_12.1623,40.86859511408812,-0.476,0.26,16306,26,0.0016
2022_1_19_-4.9589_12.1623,32.79849783111892,-0.763,0.271,8757,14,0.0016
2022_1_19_-4.9589_12.1623,34.03781985687547,-0.763,0.271,9088,15,0.0016
2022_1_19_-4.9589_12.1623,36.99969490225362,-0.763,0.271,9878,16,0.0016
2022_1_19_-4.9589_12.1623,36.525355423145896,-0.626,0.273,9752,16,0.0016
2022_1_19_-4.9589_12.1623,34.89525333849905,-0.626,0.273,9317,15,0.0016
2022_1_19_-4.9589_12.1623,39.65355014712907,-0.626,0.273,10587,17,0.0016
2022_1_19_-4.9589_12.1623,44.06422835106701,-0.444,0.269,17581,28,0.0016
2022_1_19_-4.9589_12.1623,40.1677872766747,-0.444,0.269,16026,26,0.0016
2022_1_19_-4.9589_12.1623,44.31620608913485,-0.793,0.274,11832,19,0.0016
2022_1_19_-4.9589_12.1623,43.72331531848919,-0.793,0.274,11674,19,0.0016
2022_1_19_-4.9589_12.1623,38.91271706201152,-0.793,0.274,10389,17,0.0016
2022_1_19_-4.9589_12.1623,33.58699521079518,-0.793,0.274,8967,14,0.0016
2022_1_19_-4.9589_12.1623,31.257069130800165,-0.446,0.267,12471,20,0.0016
2022_1_19_-4.9589_12.1623,31.43901947451806,-0.446,0.267,12544,20,0.0016
2022_1_19_-4.9589_12.1623,31.41286875060191,-0.841,0.265,8387,13,0.0016
2022_1_19_-4.9589_12.1623,30.296335588756005,-0.841,0.265,8089,13,0.0016
2022_1_19_-4.9589_12.1623,30.47695287682856,-0.638,0.262,8137,13,0.0016
2022_1_19_-4.9589_12.1623,31.89455178815512,-0.638,0.262,8515,14,0.0016
2022_1_19_-4.9589_12.1623,33.316750916720665,-0.638,0.262,8895,14,0.0016
2022_1_19_-4.9589_12.1623,15.236314962227707,-0.768,0.275,4068,7,0.0016
2022_1_19_-4.9589_12.1623,0.372128938056302,-0.476,0.26,148,0,0.0016
