radio,mcc,net,area,cell,unit,lon,lat,GID_0
GSM,613,3,2,20012,0,-4.258301,11.171997,BFA
UMTS,613,1,100,75702,0,-1.4824676513672,12.360305786133,BFA
UMTS,613,1,100,75882,0,-1.551682,12.325699,BFA
UMTS,613,1,100,75981,0,-1.547699,12.383652,BFA
UMTS,613,2,3001,9908598,0,-1.5250396728516,12.400131225586,BFA
UMTS,613,1,100,75779,0,-1.5442657470703,12.206497192383,BFA
UMTS,613,1,100,75722,0,-1.528866,12.378425,BFA
UMTS,613,2,3001,9908201,0,-1.491623,12.344742,BFA
UMTS,613,1,100,75732,0,-1.4728546142578,12.385025024414,BFA
UMTS,613,1,100,76042,0,-1.4948272705078,12.353439331055,BFA
UMTS,613,2,3001,9906149,0,0.35362243652344,12.065048217773,BFA
UMTS,613,1,100,75677,0,-1.4810943603516,12.358932495117,BFA
UMTS,613,1,100,75659,0,-1.5566253662109,12.31086730957,BFA
UMTS,613,1,100,75860,0,-1.5044403076172,12.302627563477,BFA
UMTS,613,1,100,75817,0,-1.503018,12.37975,BFA
UMTS,613,1,100,76508,0,-1.5195465087891,12.389144897461,BFA
UMTS,613,2,3001,9906669,0,-1.462891,12.335064,BFA
UMTS,613,1,100,1640,0,-1.5167999267578,12.390518188477,BFA
UMTS,613,1,100,75941,0,-1.4275360107422,12.389144897461,BFA
UMTS,613,2,3001,9908581,0,-1.495154,12.358501,BFA
UMTS,613,2,3001,9907200,0,-1.513312,12.405437,BFA
UMTS,613,1,100,75621,0,-1.5003204345703,12.305374145508,BFA
UMTS,613,2,3001,9908498,0,-1.560745,12.3246,BFA
UMTS,613,2,3001,9907100,0,-1.5566253662109,12.330093383789,BFA
UMTS,613,2,3002,9974237,0,-4.301834,11.165543,BFA
UMTS,613,2,47371,9912762,0,-1.5264129638672,12.350692749023,BFA
UMTS,613,2,3001,9908200,0,-1.502914,12.346929,BFA
UMTS,613,2,3001,9910318,0,-1.5236663818359,12.415237426758,BFA
UMTS,613,2,3002,9971665,0,-3.494339,12.448654,BFA
UMTS,613,2,3001,9914269,0,-1.507121,12.305374,BFA
