space_time_id,pop,rwi,error,wealth_usd,wealth_cfa,usd_to_cfa
2022_10_23_-4.6833_9.95,23.905223157659805,-0.506,0.289,6717,11,0.0016
2022_10_23_-4.6833_9.95,25.069302456480692,-0.506,0.289,7044,11,0.0016
2022_10_23_-4.6833_9.95,21.87588390779156,-0.506,0.289,6147,10,0.0016
2022_10_23_-4.6833_9.95,10.466358351910287,-0.805,0.291,1883,3,0.0016
2022_10_23_-4.6833_9.95,18.10732859509669,-0.805,0.291,3259,5,0.0016
2022_10_23_-4.6833_9.95,17.709587916050836,-0.805,0.291,3187,5,0.0016
2022_10_23_-4.6833_9.95,17.541557272848248,-0.805,0.291,3157,5,0.0016
2022_10_23_-4.6833_9.95,17.765316504609427,-0.132,0.392,7070,11,0.0016
2022_10_23_-4.6833_9.95,18.37585467104372,-0.132,0.392,7313,12,0.0016
2022_10_23_-4.6833_9.95,18.859486233148505,-0.132,0.392,7506,12,0.0016
2022_10_23_-4.6833_9.95,19.275360950250064,-0.132,0.392,7671,12,0.0016
2022_10_23_-4.6833_9.95,20.12467617154857,-0.132,0.392,8009,13,0.0016
2022_10_23_-4.6833_9.95,26.21284199801972,-0.132,0.392,10432,17,0.0016
2022_10_23_-4.6833_9.95,36.86257660471077,-0.132,0.392,14671,23,0.0016
2022_10_23_-4.6833_9.95,38.72715632554381,-0.793,0.396,6970,11,0.0016
2022_10_23_-4.6833_9.95,38.53900693197053,-0.793,0.396,6937,11,0.0016
2022_10_23_-4.6833_9.95,33.11873929066791,-0.793,0.396,5961,10,0.0016
2022_10_23_-4.6833_9.95,23.64503921251725,-0.137,0.285,9410,15,0.0016
2022_10_23_-4.6833_9.95,22.83535324678185,-0.137,0.285,9088,15,0.0016
2022_10_23_-4.6833_9.95,22.21404830771484,-0.137,0.285,8841,14,0.0016
2022_10_23_-4.6833_9.95,21.44199522025893,-0.351,0.288,6025,10,0.0016
2022_10_23_-4.6833_9.95,21.14739459060403,-0.351,0.288,5942,10,0.0016
2022_10_23_-4.6833_9.95,21.550417837253228,-0.679,0.287,3879,6,0.0016
2022_10_23_-4.6833_9.95,28.17408270741005,-0.679,0.287,5071,8,0.0016
2022_10_23_-4.6833_9.95,26.50963603133424,-0.679,0.287,4771,8,0.0016
2022_10_23_-4.6833_9.95,8.270093698438961,-0.805,0.291,1488,2,0.0016
2022_10_23_-4.6833_9.95,17.08769239489302,-0.805,0.291,3075,5,0.0016
2022_10_23_-4.6833_9.95,17.254855568516916,-0.805,0.291,3105,5,0.0016
2022_10_23_-4.6833_9.95,17.42393174940769,-0.132,0.392,6934,11,0.0016
2022_10_23_-4.6833_9.95,17.910105547520175,-0.132,0.392,7128,11,0.0016
2022_10_23_-4.6833_9.95,18.330287260689847,-0.132,0.392,7295,12,0.0016
2022_10_23_-4.6833_9.95,18.549854835290127,-0.132,0.392,7382,12,0.0016
2022_10_23_-4.6833_9.95,19.07166922511943,-0.132,0.392,7590,12,0.0016
2022_10_23_-4.6833_9.95,19.7069459419116,-0.132,0.392,7843,13,0.0016
2022_10_23_-4.6833_9.95,21.748536285217263,-0.132,0.392,8655,14,0.0016
2022_10_23_-4.6833_9.95,25.97433766207884,-0.793,0.396,4675,7,0.0016
2022_10_23_-4.6833_9.95,30.439801521689485,-0.793,0.396,5479,9,0.0016
2022_10_23_-4.6833_9.95,28.52009873591935,-0.793,0.396,5133,8,0.0016
2022_10_23_-4.6833_9.95,23.109990891316578,-0.793,0.396,4159,7,0.0016
2022_10_23_-4.6833_9.95,22.496218842380785,-0.137,0.285,8953,14,0.0016
2022_10_23_-4.6833_9.95,21.69311573167637,-0.137,0.285,8633,14,0.0016
2022_10_23_-4.6833_9.95,20.95333182819044,-0.137,0.285,8339,13,0.0016
2022_10_23_-4.6833_9.95,21.27229079481708,-0.137,0.285,8466,14,0.0016
2022_10_23_-4.6833_9.95,20.91923097402757,-0.679,0.287,3765,6,0.0016
2022_10_23_-4.6833_9.95,21.3282012648555,-0.679,0.287,3839,6,0.0016
2022_10_23_-4.6833_9.95,27.24655081275286,-0.679,0.287,4904,8,0.0016
2022_10_23_-4.6833_9.95,23.59569805465803,-0.679,0.287,4247,7,0.0016
2022_10_23_-4.6833_9.95,4.562346552977073,-0.805,0.291,821,1,0.0016
2022_10_23_-4.6833_9.95,15.782021236040666,-0.805,0.291,2840,5,0.0016
2022_10_23_-4.6833_9.95,16.635908937831875,-0.132,0.392,6621,11,0.0016
2022_10_23_-4.6833_9.95,16.99969599607981,-0.132,0.392,6765,11,0.0016
2022_10_23_-4.6833_9.95,17.54845181425886,-0.132,0.392,6984,11,0.0016
2022_10_23_-4.6833_9.95,18.069689690574474,-0.132,0.392,7191,12,0.0016
2022_10_23_-4.6833_9.95,18.241517691783383,-0.132,0.392,7260,12,0.0016
2022_10_23_-4.6833_9.95,18.773548453496304,-0.132,0.392,7471,12,0.0016
2022_10_23_-4.6833_9.95,19.718218368760567,-0.132,0.392,7847,13,0.0016
2022_10_23_-4.6833_9.95,20.989412642965444,-0.793,0.396,3778,6,0.0016
2022_10_23_-4.6833_9.95,21.66655830633214,-0.793,0.396,3899,6,0.0016
2022_10_23_-4.6833_9.95,22.408331307565447,-0.793,0.396,4033,6,0.0016
2022_10_23_-4.6833_9.95,22.363945003964027,-0.793,0.396,4025,6,0.0016
2022_10_23_-4.6833_9.95,22.43701902024998,-0.793,0.396,4038,6,0.0016
2022_10_23_-4.6833_9.95,21.92922684291952,-0.137,0.285,8727,14,0.0016
2022_10_23_-4.6833_9.95,20.83552779290134,-0.137,0.285,8292,13,0.0016
2022_10_23_-4.6833_9.95,20.55826211626695,-0.137,0.285,8182,13,0.0016
2022_10_23_-4.6833_9.95,20.409811201554827,-0.137,0.285,8123,13,0.0016
2022_10_23_-4.6833_9.95,20.386829037675582,-0.679,0.287,3669,6,0.0016
2022_10_23_-4.6833_9.95,21.956228219336083,-0.679,0.287,3952,6,0.0016
2022_10_23_-4.6833_9.95,26.66278941823432,-0.679,0.287,4799,8,0.0016
2022_10_23_-4.6833_9.95,17.29768762762812,-0.679,0.287,3113,5,0.0016
2022_10_23_-4.6833_9.95,0.603260317554462,-0.805,0.291,108,0,0.0016
2022_10_23_-4.6833_9.95,14.141206087014847,-0.132,0.392,5628,9,0.0016
2022_10_23_-4.6833_9.95,16.391649566601355,-0.132,0.392,6523,10,0.0016
2022_10_23_-4.6833_9.95,16.63302613090689,-0.132,0.392,6619,11,0.0016
2022_10_23_-4.6833_9.95,16.77411656311281,-0.132,0.392,6676,11,0.0016
2022_10_23_-4.6833_9.95,17.14812709837803,-0.132,0.392,6824,11,0.0016
2022_10_23_-4.6833_9.95,17.885110612378625,-0.132,0.392,7118,11,0.0016
2022_10_23_-4.6833_9.95,17.54632227966338,-0.132,0.392,6983,11,0.0016
2022_10_23_-4.6833_9.95,18.124504282322334,-0.258,0.395,5092,8,0.0016
2022_10_23_-4.6833_9.95,19.793546458122837,-0.258,0.395,5561,9,0.0016
2022_10_23_-4.6833_9.95,21.34393990026669,-0.258,0.395,5997,10,0.0016
2022_10_23_-4.6833_9.95,21.829102495464213,-0.258,0.395,6133,10,0.0016
2022_10_23_-4.6833_9.95,22.59783231483628,-0.258,0.395,6349,10,0.0016
2022_10_23_-4.6833_9.95,21.64459500821098,-0.258,0.395,6082,10,0.0016
2022_10_23_-4.6833_9.95,20.58642593127298,-0.258,0.395,5784,9,0.0016
2022_10_23_-4.6833_9.95,18.829331581699485,-0.137,0.285,7494,12,0.0016
2022_10_23_-4.6833_9.95,18.794874209841005,-0.137,0.285,7480,12,0.0016
2022_10_23_-4.6833_9.95,18.8931607845899,-0.137,0.285,7519,12,0.0016
2022_10_23_-4.6833_9.95,20.036484343448457,-0.679,0.287,3606,6,0.0016
2022_10_23_-4.6833_9.95,22.62739077121949,-0.679,0.287,4072,7,0.0016
2022_10_23_-4.6833_9.95,23.527716458027736,-0.679,0.287,4234,7,0.0016
2022_10_23_-4.6833_9.95,7.812873311404317,-0.679,0.287,1406,2,0.0016
2022_10_23_-4.6833_9.95,7.849450013116693,-0.132,0.392,3124,5,0.0016
2022_10_23_-4.6833_9.95,15.41388067691062,-0.132,0.392,6134,10,0.0016
2022_10_23_-4.6833_9.95,16.645833283504412,-0.132,0.392,6625,11,0.0016
2022_10_23_-4.6833_9.95,16.64345886953292,-0.132,0.392,6624,11,0.0016
2022_10_23_-4.6833_9.95,16.890421249713736,-0.132,0.392,6722,11,0.0016
2022_10_23_-4.6833_9.95,18.61360261538973,-0.258,0.395,5230,8,0.0016
2022_10_23_-4.6833_9.95,17.6527764250157,-0.258,0.395,4960,8,0.0016
2022_10_23_-4.6833_9.95,17.296164440959455,-0.258,0.395,4860,8,0.0016
2022_10_23_-4.6833_9.95,17.462021838774458,-0.258,0.395,4906,8,0.0016
